year,title,authors,source_url
2014,Embodied Violence and the Leap from the Law,Jeff Fort,https://doi.org/10.5422/fordham/9780823254699.003.0004
2014,The Imperative to Write,JEFF FORT,https://doi.org/10.2307/j.ctt13x07wd
2014,The Ecstasy of Judgment,,https://doi.org/10.2307/j.ctt13x07wd.7
2014,Notes,Jeff Fort,https://doi.org/10.5422/fordham/9780823254699.002.0008
2014,The Dead Look,Jeff Fort,https://doi.org/10.5422/fordham/9780823254699.003.0008
2014,Abbreviations of Frequently Cited Works,Jeff Fort,https://doi.org/10.5422/fordham/9780823254699.002.0005
2014,BIBLIOGRAPHY,,https://doi.org/10.2307/j.ctt13x07wd.17
2014,Preface,Jeff Fort,https://doi.org/10.5422/fordham/9780823254699.002.0006
2014,The Shell and the Mask:,,https://doi.org/10.2307/j.ctt13x07wd.11
2014,Kafka’s Teeth,,https://doi.org/10.2307/j.ctt13x07wd.6
2014,Degradation of the Sublime,Jeff Fort,https://doi.org/10.5422/fordham/9780823254699.003.0005
2014,Maurice Blanchot (1907–2003),,https://doi.org/10.1017/cbo9781139022309.100
2014,Blanchot and Literary Criticism,John McKeane,https://doi.org/10.5325/complitstudies.51.3.e-9
2014,"Marking Time: Derrida, Blanchot, Beckett, des Forêts, Klossowski, Laporte
            <i>Marking Time: Derrida, Blanchot, Beckett, des Forêts, Klossowski, Laporte</i>
            . By I
            <scp>an</scp>
            M
            <scp>aclachlan</scp>
            . (Faux titre, 384.) Amsterdam: Rodopi, 2012. 214 pp.",Leslie Hill,https://doi.org/10.1093/fs/knu221
2015,Maurice Blanchot and the politics of narrative genres,,https://doi.org/10.1017/cbo9781316145463.004
2015,Literary weakness,,https://doi.org/10.1017/cbo9781316145463.005
2015,"The Impossible Experience of Words: Blanchot, Beckett, and the Materiality of Language",Gerald L. Bruns,https://doi.org/10.1215/00267929-2827560
2015,FlowCAM as a tool for studying small (80–1000 µm) metazooplankton communities,"Baptiste Le Bourg, Véronique Cornet-Barthaux, Marc Pagano, Jean Blanchot",https://doi.org/10.1093/plankt/fbv025
2015,Ending and Unending Agony,Philippe Lacoue-Labarthe,https://doi.org/10.2307/j.ctt1657v2v
2015,Table of Contents,,https://doi.org/10.2307/j.ctt1657v2v.2
2015,Ending and Unending Agony,"Philippe Lacoue-Labarthe, Hannes Opelz",https://doi.org/10.5422/fordham/9780823264575.003.0006
2015,Dismay,,https://doi.org/10.2307/j.ctt1657v2v.12
2015,Ending and Unending Agony,,https://doi.org/10.2307/j.ctt1657v2v.9
2015,"[In 1976, Malraux . . .]",,https://doi.org/10.2307/j.ctt1657v2v.10
2015,Prologue,"Philippe Lacoue-Labarthe, Hannes Opelz",https://doi.org/10.5422/fordham/9780823264575.003.0002
2015,Bibliographical Note,,https://doi.org/10.2307/j.ctt1657v2v.14
2015,The Contestation of Death,"Philippe Lacoue-Labarthe, Hannes Opelz",https://doi.org/10.5422/fordham/9780823264575.003.0004
2015,Translator’s Note,,https://doi.org/10.2307/j.ctt1657v2v.3
2015,Back Matter,,https://doi.org/10.2307/j.ctt1657v2v.16
2015,Ending and Unending Agony,"Philippe Lacoue-Labarthe, Hannes Opelz",https://doi.org/10.5422/fordham/9780823264575.001.0001
2015,Annexes,,https://doi.org/10.2307/j.ctt1657v2v.8
2015,Introduction,"Aristide Bianchi, Leonid Kharlamov",https://doi.org/10.2307/j.ctt1657v2v.4
2015,Fidelities,"Philippe Lacoue-Labarthe, Hannes Opelz",https://doi.org/10.5422/fordham/9780823264575.003.0003
2015,Index of Names,,https://doi.org/10.2307/j.ctt1657v2v.15
2015,Interview with Pascal Possoz,,https://doi.org/10.2307/j.ctt1657v2v.11
2015,The Contestation of Death,,https://doi.org/10.2307/j.ctt1657v2v.7
2015,Fidelities,,https://doi.org/10.2307/j.ctt1657v2v.6
2015,Annexes,"Philippe Lacoue-Labarthe, Hannes Opelz",https://doi.org/10.5422/fordham/9780823264575.003.0005
2015,Prologue,,https://doi.org/10.2307/j.ctt1657v2v.5
2015,Introduction,"Philippe Lacoue-Labarthe, Hannes Opelz",https://doi.org/10.5422/fordham/9780823264575.003.0001
2015,Front Matter,,https://doi.org/10.2307/j.ctt1657v2v.1
2015,Notes,,https://doi.org/10.2307/j.ctt1657v2v.13
2015,The Force and the Weakness of the Law: Grace and Disgrace in the Writing of Maurice Blanchot,Aïcha Liviana Messina,https://doi.org/10.14321/crnewcentrevi.15.3.0201
2015,Significations de l'angoisse dans les textes de Maurice Blanchot autour des romans L'Arrêt de mort et Le dernier homme,Ji-hyoung SEO,https://doi.org/10.18824/ellf.104.07
2016,The Apocalypse of Blanchot,"Aïcha Liviana Messina, Lena Taub, None None",https://doi.org/10.5840/philtoday2016113134
2016,"Avant dire: essais sur Blanchot
            <i>Avant dire: essais sur Blanchot</i>
            . Par M
            <scp>ichael</scp>
            H
            <scp>olland</scp>
            . (Bel aujourd'hui.) Paris: Hermann, 2015. 400 pp.",Leslie Hill,https://doi.org/10.1093/fs/knv243
2016,"Haptic Experience in the Writings of Georges Bataille, Maurice Blanchot and Michel Serres
            <i>Haptic Experience in the Writings of Georges Bataille, Maurice Blanchot and Michel Serres</i>
            . By C
            <scp>rispin</scp>
            T. L
            <scp>ee</scp>
            . (Modern French Identities, 116.) Bern: Peter Lang, 2014. viii + 318 pp.",Gary D. Mole,https://doi.org/10.1093/fs/knv290
2016,"The Disappearance of Literature: Blanchot, Agamben, and the Writers of the No",Anne McConnell,https://doi.org/10.5325/complitstudies.53.1.e-4
2016,The Intimate Blanchot,Joseph D. Kuzma,https://doi.org/10.1215/00104124-3462621
2016,Index,,https://doi.org/10.2307/j.ctt19x3jg5.22
2016,Notes,,https://doi.org/10.2307/j.ctt19x3jg5.20
2016,Dead Transcendence:,,https://doi.org/10.2307/j.ctt19x3jg5.10
2016,[PART I Introduction],,https://doi.org/10.2307/j.ctt19x3jg5.6
2016,[PART IV Introduction],,https://doi.org/10.2307/j.ctt19x3jg5.16
2016,Echo Location:,,https://doi.org/10.2307/j.ctt19x3jg5.17
2016,Bibliography,,https://doi.org/10.2307/j.ctt19x3jg5.21
2016,The Possibility of Speculative Writing,,https://doi.org/10.2307/j.ctt19x3jg5.15
2016,[PART II Introduction],,https://doi.org/10.2307/j.ctt19x3jg5.9
2016,Indifferent Reading in Aminadab,,https://doi.org/10.2307/j.ctt19x3jg5.12
2016,Back Matter,,https://doi.org/10.2307/j.ctt19x3jg5.23
2016,Front Matter,,https://doi.org/10.2307/j.ctt19x3jg5.1
2016,The Obscurities of Artistic Innovation,,https://doi.org/10.2307/j.ctt19x3jg5.8
2016,The Language-Like Quality of the Artwork,,https://doi.org/10.2307/j.ctt19x3jg5.14
2016,[PART III Introduction],,https://doi.org/10.2307/j.ctt19x3jg5.13
2016,Autonomous Literature:,,https://doi.org/10.2307/j.ctt19x3jg5.7
2016,Aesthetics of Negativity,WILLIAM S. ALLEN,https://doi.org/10.2307/j.ctt19x3jg5
2016,Acknowledgments,,https://doi.org/10.2307/j.ctt19x3jg5.4
2016,Table of Contents,,https://doi.org/10.2307/j.ctt19x3jg5.2
2016,An Image of Thought in Thomas l’Obscur,,https://doi.org/10.2307/j.ctt19x3jg5.11
2016,Appendix:,,https://doi.org/10.2307/j.ctt19x3jg5.19
2016,Introduction:,,https://doi.org/10.2307/j.ctt19x3jg5.5
2016,The Negativity of Thinking through Language,,https://doi.org/10.2307/j.ctt19x3jg5.18
2016,List of Abbreviations,,https://doi.org/10.2307/j.ctt19x3jg5.3
2016,The Name God in Blanchot,Jean-Luc Nancy,https://doi.org/10.2307/j.ctt1bmzp8v.11
2016,Humanism’s Cry:,Laurens ten Kate,https://doi.org/10.2307/j.ctt1bmzp8v.12
2016,"Of Sade, Blanchot, and the French Twentieth Century",Jeffrey Mehlman,https://doi.org/10.5949/liverpool/9781781382639.003.0007
2016,"From Deconstruction to Disaster (Derrida, Blanchot, Hegel)",Leslie Hill,https://doi.org/10.3366/para.2016.0194
2016,The Fragments of the Disaster: Blanchot and Galeano on Decolonial Writing,Jasmine Wallace,https://doi.org/10.5325/jspecphil.30.3.0292
